      259768064      0.5136    821.4700      2.2291
      311626473      0.5167    766.5475      2.2387
      363694409      0.5199    857.8294      2.3097
      415653222      0.5230    764.4573      2.2684
      467610198      0.5261    833.7849      2.2508
      519648602      0.5293    708.8642      2.2481
      571772143      0.5324    629.6699      2.2318
      623831624      0.5355    677.6445      2.3033
      675759196      0.5387    777.6340      2.3343
      727780725      0.5418    547.7083      2.2606
      779657139      0.5449    683.2430      2.2132
      831475774      0.5481    635.5248      2.2289
      883269558      0.5512    738.6334      2.2443
      935075257      0.5543    547.1487      2.2079
      986990609      0.5575    804.9062      2.2505
     1000000000      0.5583    728.6275      2.2376
              0      0.5583    728.6275      2.2376
       51833262      0.5614    869.0154      2.2581
      103743459      0.5645   1106.7851      2.3034
      155637106      0.5677   1082.6314      2.2882
      207503376      0.5708    708.3936      2.1939
      259442515      0.5739    598.0833      2.1746
      311345388      0.5771    813.4102      2.1241
      363355204      0.5802    962.1981      2.2947
      415329961      0.5833    823.2142      2.2905
      467404632      0.5865    739.7842      2.1882
      519361047      0.5896    993.7935      2.2804
      571349554      0.5927    654.6062      2.2237
      623292488      0.5959    615.7867      2.2202
      675320785      0.5990    794.9973      2.2657
      727221172      0.6021    565.6298      2.1492
      779205754      0.6053    653.5092      2.2738
      831279391      0.6084    755.9175      2.2458
      883212417      0.6115    885.6491      2.2302
      935120980      0.6147    640.6011      2.1863
      987008252      0.6178    611.4950      2.1614
     1000000000      0.6186    684.0518      2.2396
              0      0.6186    684.0518      2.2396
       51918926      0.6217    744.5697      2.2732
      103810511      0.6248    820.3665      2.2117
      155630632      0.6280    471.4770      2.1686
      207443783      0.6311    432.5343      2.1627
      259384134      0.6342    821.6615      2.2010
      311144338      0.6374    707.5105      2.1342
      362964918      0.6405    851.1625      2.2468
      414643994      0.6436    703.3122      2.1593
      466430149      0.6468    949.9578      2.3055
      518179154      0.6499    944.9519      2.2751
      569933722      0.6530    837.7615      2.2473
      621740218      0.6562    616.2902      2.1877
      673561393      0.6593   1060.7579      2.3454
      725276892      0.6624    818.4512      2.2821
      776910899      0.6656    825.5201      2.2282
      828629471      0.6687    681.0203      2.1796
      880208977      0.6718    882.3886      2.2869
      931841195      0.6750    284.6727      2.0859
      983595555      0.6781    521.6316      2.1594
     1000000000      0.6791    537.5135      2.1607
              0      0.6791    537.5135      2.1607
       51611707      0.6822    922.1431      2.2896
      103451317      0.6854    799.1208      2.2614
      155236168      0.6885   1025.2364      2.3447
      207064495      0.6916    409.7185      2.2654
      258821209      0.6948    542.2633      2.2002
      310627486      0.6979    616.9994      2.2304
      362509585      0.7010    564.9169      2.2145
      414340870      0.7042    853.2490      2.3286
      466233799      0.7073    762.0611      2.2610
      517972427      0.7104    605.0721      2.2106
      569693670      0.7136    682.9195      2.2063
      621505567      0.7167    611.7123      2.2529
      673270016      0.7198    500.5196      2.2310
      725061266      0.7230    424.2269      2.1618
      776820711      0.7261    647.2839      2.2929
      828627590      0.7292    613.0235      2.2887
      880404106      0.7324    358.1909      2.1742
      932159562      0.7355    499.0239      2.2337
      983952779      0.7386    353.2567      2.1469
     1000000000      0.7396    484.6991      2.2566
